Altium Designer Pick and Place Locations
C:\Users\patri\OneDrive\Public\EEE30005\Integrated Equipment\PCB_Project\Project Outputs for 190822 Integrated DED Equipment\Pick Place for 191015 PCB.csv

========================================================================================================================
File Design Information:

Date:       16/10/19
Time:       21:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R76","100R","TopLayer","0805","245.2238","122.0120","270",""
"R75","100R","TopLayer","0805","240.1524","122.0120","270",""
"R74","100R","TopLayer","0805","235.0809","122.0120","270",""
"R73","100R","TopLayer","0805","230.0095","122.0120","270",""
"R72","100R","TopLayer","0805","224.9381","122.0120","270",""
"R70","100R","TopLayer","0805","219.8667","122.0120","270",""
"R69","100R","TopLayer","0805","214.7952","122.0120","270",""
"R21","100R","TopLayer","0805","209.7238","122.0120","270",""
"K16","SS0823","TopLayer","Jaycar_2.54_SPDT_Slide","190.9750","107.7750","180","SPDT Switch"
"U4","RS3236-3.3","TopLayer","Runic_SOT-23-5","191.7450","117.0000","270","Low Power, Low Dropout, 500mA RF LinearRegulators"
"R71","1k","TopLayer","0805","189.0250","104.8000","360",""
"C9","10nF","TopLayer","0805","196.3750","116.0150","180",""
"C7","1uF","TopLayer","0805","190.5138","120.9120","270",""
"C8","1uF","TopLayer","0805","193.0650","120.8750","270",""
"U3","SSD1306","TopLayer","IIC_128x32_OLED","173.1920","196.6076","360","AU 0.91" IIC I2C OLED LCD Display Module 128x32 for Arduino PIC SSD1306 3.3V~5V"
"R68","1k","TopLayer","0805","207.2561","187.3882","90",""
"R67","330R","TopLayer","0805","202.3750","187.4000","90",""
"D45","LED","TopLayer","0805_LED","204.8262","187.3880","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"BRUCE SPRINGSTEEN1","ATMEGA 328P-AU","TopLayer","ATMEL_TQFP-32","259.9230","113.3086","270","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"C1","1uF","TopLayer","0805","260.7718","121.2706","270",""
"C2","4.7uF","TopLayer","0805","258.7718","121.2706","270",""
"C3","1uF","TopLayer","0805","257.4000","105.5250","90",""
"C6","100nF","TopLayer","0805","259.7250","105.5500","90",""
"C5","22pF","TopLayer","0805","255.0166","140.1228","180",""
"ACTIVE1","Red","TopLayer","0805_LED","193.1870","104.8262","180","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D3","Red","TopLayer","0805_LED","301.3262","146.5630","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D4","Red","TopLayer","0805_LED","306.2012","152.5630","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D5","Red","TopLayer","0805_LED","310.7262","158.4880","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D6","Red","TopLayer","0805_LED","306.2250","158.4880","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D7","Red","TopLayer","0805_LED","301.3262","158.4880","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D9","Red","TopLayer","0805_LED","309.7738","179.8162","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D10","Red","TopLayer","0805_LED","307.2738","179.8162","270","Orange LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D11","Red","TopLayer","0805_LED","304.7738","179.8162","270","Green LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D12","Red","TopLayer","0805_LED","286.3120","184.3054","180","Green LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D13","Red","TopLayer","0805_LED","288.0370","174.8054","180","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D14","Red","TopLayer","0805_LED","288.0370","177.3554","180","Orange LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D15","Red","TopLayer","0805_LED","288.0370","179.9554","180","Green LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D16","Red","TopLayer","0805_LED","292.3488","198.2912","270","Green LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"F1","0ZCF0100AF2A","TopLayer","2920","180.2750","117.9000","360","PTC RESET FUSE 60V 1A 292"
"ICSP1","2.54mm","TopLayer","Header_2x3","268.6650","103.8950","180",""
"K1","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","307.4000","185.8750","360","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K2","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","294.0250","177.3000","90","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K3","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","304.2250","198.3792","90","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K4","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","286.4000","196.3250","180","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K5","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","279.5250","106.5000","90","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K6","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","175.1000","187.1750","360","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K7","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","182.9000","187.1750","360","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"P1","2.54mm","TopLayer","Header_2x4","276.2700","152.4700","90",""
"R1","10k","TopLayer","0805","259.8738","127.5120","270",""
"R2","10k","TopLayer","0805","270.0120","113.0262","180",""
"R11","1k","TopLayer","0805","292.5000","141.5500","90",""
"R12","1k","TopLayer","0805","290.0000","141.5500","90",""
"R13","1k","TopLayer","0805","287.5000","141.5500","90",""
"R14","10k","TopLayer","0805","270.0994","123.7339","0",""
"R15","10k","TopLayer","0805","270.0994","121.1939","0",""
"R16","10k","TopLayer","0805","270.0994","118.6539","0",""
"R23","330R","TopLayer","0805","270.0994","181.9059","0",""
"R24","330R","TopLayer","0805","270.0994","184.4459","0",""
"R25","330R","TopLayer","0805","270.0994","186.9859","0",""
"R17","10k","TopLayer","0805","270.0994","116.1139","0",""
"R18","1k","TopLayer","0805","262.4738","104.2120","270",""
"R35","10k","TopLayer","0805","270.0994","191.9600","0",""
"R27","1k","TopLayer","0805","309.8512","175.7422","90",""
"R28","680R","TopLayer","0805","307.3262","175.7422","90",""
"R29","680R","TopLayer","0805","304.8012","175.7172","90",""
"R30","1k","TopLayer","0805","286.3370","186.5304","180",""
"R31","1k","TopLayer","0805","283.9130","174.7740","360",""
"R32","680R","TopLayer","0805","283.9130","177.3240","360",""
"R33","680R","TopLayer","0805","283.9130","179.9240","360",""
"R34","1k","TopLayer","0805","294.4738","198.2912","270",""
"R52","10k","TopLayer","0805","233.5832","183.7380","90",""
"R53","10k","TopLayer","0805","231.0432","183.7380","90",""
"R54","10k","TopLayer","0805","228.5032","183.7380","90",""
"R55","1k","TopLayer","0805","228.4270","196.0628","270",""
"U1","SN74HC540DWR","TopLayer","TI_20-SOIC","289.5000","152.5000","180","IC BUFFER INVERT 6V 20SOIC"
"TRAFFIC EXPANDER1","MCP23017","TopLayer","Microchip_28-SOIC","259.3450","191.6550","90","IC I/O EXPANDER I2C 16B 28SOIC"
"K10","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","219.1366","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K11","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","224.5489","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K12","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","229.9611","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K13","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","235.3733","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K14","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","240.7856","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"K15","TS-1187A-C-D-B","TopLayer","XKB_SW-4.5","246.1978","105.2830","270","TACTILE SWITCHES SPST 5.10MM X 5.10MM 0.80MM SMD ROHS"
"R19","200R","TopLayer","0805","178.6488","106.0370","270",""
"R20","5.1k","TopLayer","0805","183.3678","106.0370","270",""
"R22","5.1k","TopLayer","0805","173.9298","106.0370","270",""
"LIGHTS INPUT1","Header 2x8","TopLayer","Header_2x8","237.3932","188.9800","180",""
"D23","Red","TopLayer","0805_LED","214.2954","112.8143","360","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D24","Red","TopLayer","0805_LED","209.2212","112.8143","360","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D25","Red","TopLayer","0805_LED","228.4020","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D26","Red","TopLayer","0805_LED","230.9565","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D27","Red","TopLayer","0805_LED","233.5109","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D28","Red","TopLayer","0805_LED","236.0654","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D29","Red","TopLayer","0805_LED","238.6198","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D30","Red","TopLayer","0805_LED","241.1743","200.1508","270","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"R3","10k","TopLayer","0805","270.0994","148.6600","360",""
"R4","10k","TopLayer","0805","270.0994","151.2233","360",""
"R5","10k","TopLayer","0805","270.0994","153.7867","360",""
"R6","10k","TopLayer","0805","270.0994","156.3500","360",""
"R7","1k","TopLayer","0805","289.7726","163.4740","270",""
"R8","1k","TopLayer","0805","292.3250","163.4500","270",""
"R9","1k","TopLayer","0805","294.8250","163.4500","270",""
"R10","1k","TopLayer","0805","295.0000","141.5500","90",""
"U7","SN74HC540DWR","TopLayer","TI_20-SOIC","217.4000","196.9750","360","IC BUFFER INVERT 6V 20SOIC"
"POWER 2","2.54mm","TopLayer","Header_2x2","253.1700","129.9800","90",""
"POWER 1","2.54mm","TopLayer","Header_2x2","253.1700","175.0200","90",""
"USB1","USB4085-GF-A","TopLayer","USB4085-GF-A","166.3449","119.2249","270","USB - C (Type - C) USB 2.0 Receptacle Connector 16 Position Through Hole, Right Angle"
"C4","22pF","TopLayer","0805","262.7176","140.1204","360",""
"D1","Red","TopLayer","0805_LED","310.9262","146.5630","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
"D2","Red","TopLayer","0805_LED","306.2012","146.5630","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
